,price,area,latitude,longitude,Bedrooms,Bathrooms,neworold,type_of_building,Price_sqft,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished
172,4300000.0,968.0,28.6493479,77.3696259,3.0,2.0,Resale,Flat,4442.148760330579,False,True
173,5800000.0,1150.0,28.499248504638672,77.42980194091797,2.0,2.0,Resale,Flat,5043.478260869565,False,True
174,9000000.0,1750.0,28.283682,77.047379,3.0,3.0,Resale,Flat,5142.857142857143,False,True
175,3500000.0,800.0,28.63477325439453,77.0490951538086,3.0,2.0,New Property,Flat,4375.0,False,True
176,12500000.0,1700.0,28.5775127933567,77.042535339585,2.0,2.0,Resale,Flat,7352.941176470588,False,False
177,6200000.0,1210.0,28.5604873040921,77.384084,2.0,3.0,Resale,Flat,5123.966942148761,False,False
178,2550000.0,540.0,28.49748611450196,77.02713012695312,2.0,2.0,Resale,Flat,4722.222222222223,True,False
179,6000000.0,1100.0,28.67613220214844,77.28523254394531,2.0,2.0,Resale,Flat,5454.545454545455,False,False
180,11000000.0,1610.0,28.513139,77.025952,3.0,3.0,Resale,Flat,6832.298136645963,False,False
181,11000000.0,2245.0,28.6485932413911,77.3794392124472,4.0,3.0,Resale,Individual House,4899.77728285078,False,False
182,4100000.0,900.0,28.524024963378903,77.21276092529297,3.0,2.0,New Property,Flat,4555.555555555556,False,False
183,9300000.0,1490.0,28.37423557,76.95241631,3.0,3.0,Resale,Flat,6241.6107382550335,False,False
184,7500000.0,1250.0,28.686542510986328,77.29959869384766,3.0,2.0,Resale,Flat,6000.0,True,False
185,4500000.0,1130.0,28.4962932685044,77.4085199482841,3.0,2.0,New Property,Flat,3982.300884955752,False,False
186,9400000.0,1625.0,28.42491581294641,77.486721,3.0,2.0,New Property,Individual House,5784.615384615385,False,False
187,3400000.0,900.0,28.6485885,77.3533389,2.0,2.0,Resale,Flat,3777.777777777778,False,True
188,7000000.0,1008.0,28.686573028564453,77.29962921142578,3.0,2.0,Resale,Flat,6944.444444444444,True,False
189,22500000.0,1900.0,28.543664932250977,77.25489807128906,3.0,3.0,Resale,Flat,11842.105263157897,False,True
190,20000000.0,2428.0,28.423439458762,77.0691066564545,3.0,4.0,Resale,Flat,8237.232289950576,False,False
191,9700000.0,1250.0,28.4245106404379,77.1013245863658,3.0,2.0,Resale,Individual House,7760.0,False,False
192,13500000.0,2800.0,28.430349349975582,77.29561614990234,4.0,4.0,Resale,Flat,4821.428571428572,False,False
193,4500000.0,800.0,28.539813995361328,77.21868133544922,2.0,2.0,Resale,Flat,5625.0,True,False
194,2650000.0,608.0,28.634742736816406,77.04910278320312,2.0,2.0,Resale,Flat,4358.552631578948,False,True
195,2900000.0,965.0,28.728555,77.337353,2.0,2.0,Resale,Flat,3005.181347150259,False,False
196,7000000.0,1256.0,28.5898617123258,77.4034337616235,2.0,2.0,Resale,Flat,5573.248407643312,False,False
197,79000000.0,7200.0,28.4407383787887,77.1012647429428,5.0,6.0,Resale,Flat,10972.222222222224,False,False
198,6040000.0,1341.0,28.682107,77.4465784,3.0,2.0,Resale,Flat,4504.101416853095,False,False
199,22000000.0,2835.0,28.470149,77.535673,4.0,5.0,Resale,Individual House,7760.141093474427,False,True
200,3000000.0,630.0,28.68641662597656,77.2995834350586,2.0,2.0,Resale,Flat,4761.9047619047615,True,False
201,23500000.0,2985.0,28.441368,77.098124,3.0,3.0,Resale,Flat,7872.696817420436,False,False
202,15000000.0,2550.0,28.5750243,77.3803,4.0,4.0,Resale,Flat,5882.35294117647,True,False
203,11000000.0,1510.0,28.3930662,77.022442,3.0,2.0,Resale,Flat,7284.76821192053,False,False
204,4500000.0,1000.0,28.621288299560547,77.05307006835938,3.0,2.0,Resale,Flat,4500.0,True,False
205,5000000.0,1205.0,28.453581,77.556221,2.0,2.0,Resale,Flat,4149.377593360996,False,False
206,4000000.0,1010.0,28.619028,77.425972,2.0,2.0,Resale,Flat,3960.3960396039606,False,False
207,6200000.0,950.0,28.634750366210938,77.04913330078125,3.0,2.0,Resale,Flat,6526.315789473684,True,False
208,9800000.0,1765.0,28.4460523,76.9772858,3.0,3.0,Resale,Flat,5552.407932011332,False,True
209,6600000.0,1455.0,28.5684777,77.3775,3.0,3.0,Resale,Flat,4536.082474226804,True,False
210,5500000.0,1000.0,28.615032,77.0290715,3.0,2.0,Resale,Flat,5500.0,True,False
